Index,Agency Abbreviation,Agency Name,QuestionID,Full Question Text,Tags
160,DOL,Department of Labor,DOL 160,"What are the lessons learned for assisting customers with different levels of digital skills and differential access to high-speed Internet infrastructure to participate in distance learning? Can different types of training, including skilled trades instruction, be adapted to a distance learning format?","Mission-Focused, PMA - Customer Experience & Service Delivery, Education, Infrastructure, Workforce Development & Employment"
161,DOL,Department of Labor,DOL 161,"To what extent are prisoner outcomes (recidivism, labor market outcomes, etc.) impacted by the type, intensity, and duration of workforce development service provision?","Mission-Focused, Criminal Justice, Workforce Development & Employment"
162,DOL,Department of Labor,DOL 162,What additional data sources can Office of Federal Contract Compliance Programs (OFCCP) utilize to improve its neutral scheduling process to select contractors that have greater risk factors for non-compliance?,"Operationally-Focused, Data Related"
163,DOL,Department of Labor,DOL 163,"What are Federal Employee Paid Leave Act (FEPLA) leave taking patterns, and do those vary by employee demographics? Are leave taking patterns equitable across demographic groups?","Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
164,DOL,Department of Labor,DOL 164,"What are opportunities for characterizing union density, mobilization, and penetration from labor market data?  Are there ways to increase the utility of the data? What are additional data sources (Office of Labor-Management Standards, other DOL, or external) that could be used as supplemental data or merged with the data to advance our understanding of the effect of unions on workplaces and local economies and communities?","Mission-Focused, Data Related"
165,DOL,Department of Labor,DOL 165,What are opportunities for measuring the prevalence and cost of worker misclassification?,Mission-Focused
166,DOL,Department of Labor,DOL 166,"What are racial and ethnic differences in employment, earnings, program participation, and program outcomes for people with disabilities?  What are current research gaps related to how disability employment programs serve individuals from different racial and ethnic groups, and what are promising practices to address existing inequities?","Mission-Focused, Equity, Workforce Development & Employment, Individuals with Disabilities"
167,DOL,Department of Labor,DOL 167,What are the barriers in recruitment and retention in underrepresented groups in the DOL workforce?,"Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
168,DOL,Department of Labor,DOL 168,What are the demographics of the regulated mining community and potential workforce for Mine Safety and Health Administration (MSHA) and to what extent is there alignment with representation within MSHA?,"Mission-Focused, Equity"
169,DOL,Department of Labor,DOL 169,What are the effects and experiences the COVID-19 pandemic has had on programming from across different Bureau of International Labor Affairs (ILAB) projects?,"Operationally-Focused, Pandemic Response"
170,DOL,Department of Labor,DOL 170,"What are the employee experiences and knowledge of taking, needing, and accessing leave? What are the employer experiences and knowledge levels with administering FMLA leave?",Mission-Focused
171,DOL,Department of Labor,DOL 171,What standards should Office of Federal Contract Compliance Programs (OFCCP) consider for contractors to promote equity in algorithmic selection and decision-making systems and ensure meaningful oversight and accountability?,"Operationally-Focused, Equity"
172,DOL,Department of Labor,DOL 172,Is the training developed under the Susan Harwood Grant Program reaching vulnerable populations of workers?  What are the practices used by those who receive Grant awards for reaching vulnerable populations? What are research options that Occupation Safety and Health Administration (OSHA) can use to  understand the implementation and impacts of this grant program in the future?,"Mission-Focused, Equity, Workforce Development & Employment, Grant Programs & Administration"
173,DOL,Department of Labor,DOL 173,"Project activities will explore major gaps in the autism research literature, including but not limited to: Foundational questions, such as disability prevalence, participation in specialized employment services, and employment outcomes; Outcomes of autism-focused hiring and recruitment programs; Utility of accommodations, supports, and assistance programs to enhance work performance; participation in inclusive apprenticeships and related WBL activities, including focused strategies; Use of accessible and assistive technologies for work and on-the-job training; Support for mental health and well-being and general health needs (especially when considering secondary mental health and physical health conditions); Economic well-being and financial literacy","Mission-Focused, Equity, Workforce Development & Employment, Individuals with Disabilities"
174,DOL,Department of Labor,DOL 174,Which Executive Core Qualifications (ECQs) do Senior Executive Services (SES) candidates struggle to demonstrate sufficient experience (ECQs most commonly disapproved by the Qualifications Review Board or returned for re-write)?  Which ECQs are DOL SES rated the lowest/highest? What Technical Qualifications are applied across all DOL Agencies? What are the Technical Qualifications that separate DOL Agencies? What level of experience is needed to be successful in top DOL SES positions (Deputy Assistant Secretary positions)?,"Operationally-Focused, PMA - Federal Workforce"
175,DOL,Department of Labor,DOL 175,"Which Reemployment Services and Eligibility Assessments (RESEA) program models, strategies, and program components appear promising for program participants? How do these vary by different characteristics (e.g., race/ethnicity, occupation/industry)? What is the emerging evidence on RESEA programs that states are implementing?","Mission-Focused, Workforce Development & Employment"
176,DOL,Department of Labor,DOL 176,Are they able to help improve long-term outcomes for individuals with barriers to employment?,"Mission-Focused, Workforce Development & Employment"
177,DOL,Department of Labor,DOL 177,What is the impact of Trade-Adjustment Assistance Program’s Navigator on underserved communities?,"Mission-Focused, Equity, Workforce Development & Employment"
178,DOL,Department of Labor,DOL 178,What are the barriers that the dislocated worker population faces in accessing services?,"Mission-Focused, PMA - Customer Experience & Service Delivery, Equity, Workforce Development & Employment"
179,DOL,Department of Labor,DOL 179,"For the feasibility study, what are the evaluation design options for measuring the differences in the outcomes of those served by TAA navigators compared to outcomes of TAA program participants without navigator supports?","Mission-Focused, PMA - Customer Experience & Service Delivery, Workforce Development & Employment"
180,DOL,Department of Labor,DOL 180,"What are current research gaps related to how disability employment programs serve individuals from different racial and ethnic groups, and what are promising practices to address existing inequities?","Mission-Focused, Equity, Workforce Development & Employment, Individuals with Disabilities"
181,DOL,Department of Labor,DOL 181,"What are barriers to Veterans Employment and Training Service Transition Assistance Plan and other workforce services, particularly for those who may face a higher risk of poverty, social exclusion, or discrimination?","Mission-Focused, Equity, Veterans Benefits & Services, Workforce Development & Employment"
182,DOL,Department of Labor,DOL 182,What promising practices and challenges have been identified by Women in Apprenticeship and Nontraditional Occupations (WANTO) grants from underrepresented communities in grant related activities? What are barriers that this population faces in accessing services?,"Mission-Focused, Equity, Workforce Development & Employment, Grant Programs & Administration"
183,DOL,Department of Labor,DOL 183,"What is the effect of the Federal Employee Paid Leave Act (FEPLA) on the number of days of leave taken, by leave type (e.g. FEPLA, Family and Medical Leave Act, sick leave, annual leave)?","Operationally-Focused, PMA - Federal Workforce, Equity"
184,DOL,Department of Labor,DOL 184,What is the effect of the Federal Employee Paid Leave Act (FEPLA) on short-term retention of employees following paid parental leave?,"Operationally-Focused, PMA - Federal Workforce, Equity"
185,DOL,Department of Labor,DOL 185,"What is the effect of Federal Employee Paid Leave Act (FEPLA) on employees' career advancement, including promotions, salary, and performance ratings?","Operationally-Focused, PMA - Federal Workforce, Equity"
186,DOL,Department of Labor,DOL 186,"What services and strategies are states using to help unemployed workers return to work as the US economy begins to recover? What strategies appear promising for different participants (dislocated workers, low-income and out-of-school youth)? What are state-of-the-art practices to support job search and reemployment?","Mission-Focused, Equity, Economic Development, Workforce Development & Employment"
187,DOL,Department of Labor,DOL 187,What good practices and lessons learned are emerging from implementing ILAB projects during the COVID-19 pandemic?,"Mission-Focused, Operationally-Focused, Pandemic Response"
188,DOL,Department of Labor,DOL 188,What future opportunities are emerging for ILAB projects to provide relevant technical assistance in the new landscape brought about by COVID-19?,"Mission-Focused, Pandemic Response"
189,DOL,Department of Labor,DOL 189,"What are promising strategies to identify unemployment insurance (UI) claimants who are in need of reemployment services to transition to new employment to participate in reemployment services, such as Reenployment Services and Eligibility Assessment Grants (RESEA) or other job search assistance? How might such strategies take into account those most likely to exhaust benefits? How should such models developed by states be adapted and updated to reflect changes in the labor market?","Mission-Focused, Social Services, Workforce Development & Employment"
190,DOL,Department of Labor,DOL 190,What is the impact of algorithmic management on occupational injuries and illness in the Storage and Warehouse Industry?,Mission-Focused
191,DOL,Department of Labor,DOL 191,What is the impact of the Veterans' Employment and Training Service employment navigator pilot program for transitioning service members?,"Mission-Focused, Equity, Veterans Benefits & Services, Workforce Development & Employment"
192,DOL,Department of Labor,DOL 192,What is the optimal process for rapidly evaluating fitness of processes for automation? How can we optimize computing to power multiple bots in production?,Operationally-Focused
193,DOL,Department of Labor,DOL 193,What is the optimal process for using predictive analytics for agency budget execution to help focus our resources? What is the optimal process for managing the data lifecycle supporting this data product?,"Operationally-Focused, Data Related"
194,DOL,Department of Labor,DOL 194,"What is the potential role of unemployment insurance (UI) navigators in assisting with initial and continued claim filing and referral to additional services? How do UI navigators affect potential inequities in recipiency and claims process? Across states, how do navigators differ from case managers, and what are the elements (if any) that would distinguish these supports? What implementations conditions are present and/or which conditions need to be present, that allows for a rigorous impact research design (e.g. randomized control trial or regression discontinuity design)?","Mission-Focused, PMA - Customer Experience & Service Delivery, Equity, Social Services"
195,DOL,Department of Labor,DOL 195,"What is the prevalence and severity of violations among selected worker populations, occupations, and/or industry subsectors?  How do these conditions vary by demographics and geographic factors?  How can this data inform Wage and Hour Division’s strategic planning process, specifically to predict violation prevalence? To what extent are workers knowledgeable of wage and hour protections? What is the worker experience with or awareness of wage and hour violations?","Mission-Focused, Equity, Workforce Development & Employment"
196,DOL,Department of Labor,DOL 196,What is the prevalence of child labor in Mexico? How has this prevalence changed since 2019?,"Mission-Focused, Equity"
197,DOL,Department of Labor,DOL 197,What is the prevalence rate of forced labor in garment sectors in Madagascar and Argentina? Where do incidence of forced labor occur along the garment supply chain in Madagascar and Argentina?,"Mission-Focused, Equity"
198,DOL,Department of Labor,DOL 198,"What data sources and methodologies should the Office of Federal Contract Compliance Programs rely on to identify the full potential workforce available by race, gender and ethnicity in the construction industry?","Mission-Focused, Equity, Data Related"
199,DOL,Department of Labor,DOL 199,"What are the reasons for and lengths of time that people with disabilities use paid leave, and how can a national comprehensive paid family and medical leave program be designed to meet the unique needs of workers with disabilities or ongoing health conditions? How can program design factors (such as coverage types, leave duration, wage replacement, job protection, benefits eligibility, and interaction with state leave programs) be evaluated to understand the specific implications on workers with disabilities?","Mission-Focused, Equity, Individuals with Disabilities"
200,DOL,Department of Labor,DOL 200,"What are tools for Employee Benefits Security Administration (EBSA) to enhance detection of non-filing Multiple Employer Welfare Arrangements (MEWAs), who are a high risk for fraud and abuse?",Operationally-Focused
201,DOL,Department of Labor,DOL 201,"What data can we cull from existing sources to produce a new data base?  2) What new data sources and tools can we develop for further analysis in state workers' compensation systems? 3) Once we have actionable data, what tools and methods can and should we employ to best analyze and utilize the data? What coverage options show we implement for certain categories of claims and claimants once we have completed our data collection and analysis, and identified areas of insufficient coverage, for the creation of new federal coverage options?","Mission-Focused, Data Related"
202,DOL,Department of Labor,DOL 202,Where are cases of black lung occurring across the US as a result of non-mining activities such as burning coal for heat? How do those align with former and current coal mining communities?,"Mission-Focused, Equity, Public Health"
203,DOL,Department of Labor,DOL 203,What specific navigator services are most helpful in engendering positive labor market outcomes?,"Mission-Focused, Workforce Development & Employment"
204,DOL,Department of Labor,DOL 204,"What strategies are federal agencies using to improve diversity, equity, inclusivity, and accessibility within the federal workforce? To what extent are these strategies meeting their stated objectives?","Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
205,DOL,Department of Labor,DOL 205,In what ways can a navigator intervention help address barriers that disadvantaged populations face?,"Mission-Focused, PMA - Customer Experience & Service Delivery, Equity, Workforce Development & Employment"
206,DOT,Department of Transportation,DOT 206,How can the Federal Highway Administration address disparities in pedestrian crashes through infrastructure solutions?,"Mission-Focused, Equity, Infrastructure"
207,DOT,Department of Transportation,DOT 207,What road configurations are associated with the highest risk of pedestrian and cyclist crashes?,Mission-Focused
208,DOT,Department of Transportation,DOT 208,"What are the barriers to states, law enforcement, and the judicial system in drug impairment identification and reporting?","Mission-Focused, Criminal Justice"
209,DOT,Department of Transportation,DOT 209,How can the USDOT advance the timely and equitable expansion of alternative fuel corridors and EV infrastructure?,"Mission-Focused, Equity, Climate Change, Energy, Infrastructure"
210,DOT,Department of Transportation,DOT 210,How effective are drug-impairment detection technologies in identify drug-impaired drivers?,Mission-Focused
211,DOT,Department of Transportation,DOT 211,How is the USDOT improving climate literacy and are the initiatives achieving their intended outcomes?,"Mission-Focused, Climate Change"
212,DOT,Department of Transportation,DOT 212,Which DOT strategies are projected to be most effective in reducing transportation GHG emissions?,"Mission-Focused, Climate Change, Natural Resources & Environment"
213,DOT,Department of Transportation,DOT 213,What are the demographics of applicant pools for all DOT occupations?,"Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
214,DOT,Department of Transportation,DOT 214,What are the equity considerations in reducing pedestrian and cyclists crashes?,"Mission-Focused, Equity"
215,DOT,Department of Transportation,DOT 215,How can we gather and analyze additional information on pedestrian and cyclist risk to inform decision making on infrastructure and other safety interventions? (National Highway Traffic Safety Administration (NHTSA)/Federal Highway Administration (FHWA)),"Mission-Focused, Infrastructure"
216,DOT,Department of Transportation,DOT 216,Which locations would most benefit from weather camera services?,Mission-Focused
217,DOT,Department of Transportation,DOT 217,To what extent does drug impairment play a role in crashes?,Mission-Focused
218,ED,Department of Education,ED 218,"How have states, school districts, and IHEs used federal funds administered by the Department to support reopening and recovery, and what is the relationship between those uses and important student outcomes of interest (e.g., student engagement, student achievement, retention, and attainment), particularly for the most underserved students?","Mission-Focused, Equity, Pandemic Response, Economic Development, Education"
219,ED,Department of Education,ED 219,"What policies, programs, services, and practices are effective in preparing, recruiting, and retaining a well-qualified educator workforce that is: (1) equitably distributed within and across school districts, particularly with respect to educators working in districts with high rates of poverty and rural districts in high-demand fields and (2) prepared to provide underserved students the social, emotional, academic, and other supports they need to be successful in work and life?","Mission-Focused, Equity, Education, Workforce Development & Employment"
220,ED,Department of Education,ED 220,"How does awareness of, access to, and use of need-based grants and other forms of federal student aid affect students’ enrollment, retention, completion, and indebtedness?","Mission-Focused, Education"
221,ED,Department of Education,ED 221,"What policies, programs, and practices are effective in informing students and families about, and supporting their access to, federal student aid programs, and which are effective in increasing students’ enrollment in, persistence in, and completion of postsecondary programs?","Mission-Focused, Education"
222,ED,Department of Education,ED 222,"How targeted are current federal student aid programs to the students and purposes they are meant to serve, and how would changes to current needs analysis methods and other aspects of the grant and loan programs alter the incidence of student aid?","Mission-Focused, Equity, Education, Grant Programs & Administration"
223,ED,Department of Education,ED 223,"To what extent, and for what reasons, do the nation’s learners experience inequities in access to, participation in, or the outcomes of education programs and services supported by the Department?","Mission-Focused, Equity, Education"
224,ED,Department of Education,ED 224,"What are the characteristics of borrowers who struggle to repay their loans and the institutions they attend, and what are notable features of their repayment experience— including the plans they select and the features of those plans—and their repayment trajectories? How can repayment trajectories and adverse outcomes most accurately be predicted?","Mission-Focused, Equity, Education"
225,ED,Department of Education,ED 225,"What policies, programs, services, and practices are effective in promoting students’ SEL and development so that every student can reach their fullest academic potential?","Mission-Focused, Education"
226,ED,Department of Education,ED 226,"What policies, programs, services, and practices are associated with improving students’ and borrowers’ experiences and academic and financial outcomes when they engage with Federal Student Aid (FSA) and its processes (e.g., income verification) and partners (e.g., loan servicers)?","Mission-Focused, PMA - Customer Experience & Service Delivery, Education"
227,ED,Department of Education,ED 227,"What policies, programs, services, and practices are effective in building safe, well-disciplined, and supportive learning environments that protect the emotional and physical well-being of all learners and are free of discrimination?","Mission-Focused, Equity, Education"
228,ED,Department of Education,ED 228,"What policies, programs, services, and practices are effective in ensuring all students have equitable access to resources and resulting opportunities to learn supporting academic achievement and readiness for college and careers?","Mission-Focused, Equity, Education"
229,ED,Department of Education,ED 229,"How can equitable readiness for and access to postsecondary education best be improved for underserved students, including through federal college access programs?","Mission-Focused, Equity, Education"
230,ED,Department of Education,ED 230,How can the education workforce come to reflect the diversity of the nation’s learners?,"Mission-Focused, Equity, Education"
231,ED,Department of Education,ED 231,"What policies, programs, services, and practices support engaging adult learners in postsecondary education that can increase their employability in high-demand and high-wage careers?","Mission-Focused, Education, Workforce Development & Employment"
232,ED,Department of Education,ED 232,"What policies, programs, services, and practices support students’ seamless and cost-effective transition both between secondary and postsecondary education and training as well as between postsecondary institutions?","Mission-Focused, Education"
233,ED,Department of Education,ED 233,"What policies, programs, services, and practices support the design of learning environments and educational experiences that are effective in reducing gaps in student opportunity and achievement, including those that are responsive to the assets and needs of underserved students?","Mission-Focused, Equity, Education"
234,ED,Department of Education,ED 234,"What resources, supports, and services do postsecondary institutions—including Minority-Serving Institutions, Tribal colleges or universities, Historically Black Colleges and Universities, and institutions that are under-resourced—receive to enable them to achieve their academic mission? Additionally, which policies, programs, services, and practices are effective in achieving that goal?","Mission-Focused, Equity, Education"
235,ED,Department of Education,ED 235,"What resources, supports, and services do students, including those at the greatest disadvantage, receive to support their successful completion of a postsecondary credential? Additionally, which policies, programs, services, and practices are effective in achieving that goal?","Mission-Focused, Equity, Education"
236,ED,Department of Education,ED 236,"What policies, programs, services, and practices best support the learning and development needs of multilingual learners, including Native language acquisition?","Mission-Focused, Equity, Education"
237,ED,Department of Education,ED 237,"What policies, programs, services, and practices effectively accelerate student learning in core academic subjects in elementary and secondary education, including reading, mathematics, science, and English language arts in the wake of the COVID-19 pandemic?","Mission-Focused, Pandemic Response, Education"
238,ED,Department of Education,ED 238,"To what extent has the COVID-19 pandemic been associated with changes in students’ opportunities to learn and achievement at all levels of education, particularly for the most underserved students, and how have those conditions changed as the nation shifts to recovery?","Mission-Focused, Equity, Pandemic Response, Education"
239,ED,Department of Education,ED 239,"What policies, programs, services, and practices associated with student loan administration and effective servicing and servicer oversight effectively improve borrower academic and post-completion outcomes, reduce delinquency and default, and/or improve borrowers’ satisfaction with the loan repayment experience?","Mission-Focused, PMA - Customer Experience & Service Delivery, Education"
240,ED,Department of Education,ED 240,"What policies, programs, services, and practices associated with secondary Career & Technical Education (CTE) programs are effective in promoting student success in secondary education, postsecondary education, and the workforce, including that of underserved students?","Mission-Focused, Equity, Education, Workforce Development & Employment"
241,ED,Department of Education,ED 241,"What policies, programs, services, and practices effectively engage students with their schools in their learning in efforts to support their social and emotional well-being and mental health and in other services those schools provide, both generally and in the wake of the COVID-19 pandemic?","Mission-Focused, Pandemic Response, Education"
242,ED,Department of Education,ED 242,"What policies, programs, services, and practices effectively support the professional practice and general well-being of educators, faculty, and other instructional leaders in the wake of the COVID-19 pandemic?","Mission-Focused, Pandemic Response, Education"
243,EPA,Environmental Protection Agency,EPA 243,"Are the commitments established in EPA’s grant agreements achieving the intended environmental and/or human health results, particularly for environmental justice and underserved communities?","Mission-Focused, Equity, Public Health, Environmental Justice, Natural Resources & Environment, Grant Programs & Administration"
244,EPA,Environmental Protection Agency,EPA 244,To what extent does EPA have access to the tools and strategies needed to analyze and understand the Agency’s near and long-term workforce needs?,"Operationally-Focused, PMA - Federal Workforce, Future of Work"
245,EPA,Environmental Protection Agency,EPA 245,"Does increased use of compliance assurance tools (inspections and enforcement) improve system compliance, and if so, under what circumstances?",Mission-Focused
246,EPA,Environmental Protection Agency,EPA 246,"What are the critical skills needed to support the Agency’s mission, now and in the future?","Operationally-Focused, PMA - Federal Workforce"
247,EPA,Environmental Protection Agency,EPA 247,"What are the leading strategies to attract, recruit, train, and retain a diverse and talented workforce? What makes people stay in the Agency long-term?","Operationally-Focused, PMA - Federal Workforce, Equity, DEIA"
248,EPA,Environmental Protection Agency,EPA 248,What EPA oversight activities are effective at assessing and improving state programs’ ability to drive compliance?,Mission-Focused
249,EPA,Environmental Protection Agency,EPA 249,To what extent does EPA have ready access to data to measure drinking water compliance reliably and accurately?,"Mission-Focused, Environmental Justice, Natural Resources & Environment, Data Related"
250,EPA,Environmental Protection Agency,EPA 250,What factors determine system noncompliance and continuous compliance?,Mission-Focused
251,EPA,Environmental Protection Agency,EPA 251,How can EPA better account for disproportionate impacts and distribution of disease burden within the exposed population?,"Mission-Focused, Equity, Public Health, Environmental Justice"
252,EPA,Environmental Protection Agency,EPA 252,How can EPA ensure knowledge is transferred from outgoing to current and incoming staff to support succession planning?,"Operationally-Focused, PMA - Federal Workforce"
253,EPA,Environmental Protection Agency,EPA 253,What EPA practices and tools (1) effectively track grantee progress towards meeting workplan grant commitments including outputs and outcomes and/or (2) support communication of national program level outputs and outcomes?,"Operationally-Focused, Grant Programs & Administration"
254,EPA,Environmental Protection Agency,EPA 254,How can EPA more comprehensively characterize the health benefits associated with improved air quality?,"Mission-Focused, Public Health, Environmental Justice, Natural Resources & Environment"
255,EPA,Environmental Protection Agency,EPA 255,"How can we determine if a system has the technical, managerial, and financial capacity to provide safe water on a continuous basis to its customers?","Mission-Focused, PMA - Customer Experience & Service Delivery, Climate Change, Public Health, Environmental Justice, Natural Resources & Environment"
256,EPA,Environmental Protection Agency,EPA 256,How do EPA’s existing grant award and reporting systems identify and track grant commitments?,"Operationally-Focused, Grant Programs & Administration"
257,EPA,Environmental Protection Agency,EPA 257,How can EPA improve our approach for quantifying and valuing air pollution effects among populations most susceptible and vulnerable to poor air quality?,"Mission-Focused, Equity, Public Health, Environmental Justice, Natural Resources & Environment"
258,GSA,General Services Administration,GSA 258,"What GSA programs and policies are effective at improving climate adaptation, resilience, and mitigation?","Mission-Focused, Climate Change"
259,GSA,General Services Administration,GSA 259,What strategies are most effective at increasing participation in procurement and contracting opportunities for underserved communities and small businesses?,"Mission-Focused, Equity, Economic Development"
260,GSA,General Services Administration,GSA 260,How can GSA Technology solutions support effective service delivery to the public?,"Mission-Focused, PMA - Customer Experience & Service Delivery"
261,GSA,General Services Administration,GSA 261,What technologies and solutions does the federal workforce need to work effectively in a more responsive remote work setting?,"Mission-Focused, PMA - Federal Workforce, Future of Work"
262,HHS,Health and Human Services,HHS 262,"How effective are HHS programs and policies at protecting individuals, families, and communities from infectious disease and preventing non-communicable disease through development and equitable delivery of effective, innovative, readily available,  treatments, therapeutics, medical devices, and vaccines?","Mission-Focused, Equity, Public Health"
263,HHS,Health and Human Services,HHS 263,To what extent do HHS programs and policies provide effective and innovative pathways leading to equitable economic success for all individuals and families?,"Mission-Focused, Equity, Economic Development, Public Health, Social Services"
264,HHS,Health and Human Services,HHS 264,What are the impacts of HHS programs and policies on strengthening early childhood development and expanding opportunities to help children and youth thrive equitably within their families and communities?,"Mission-Focused, Equity, Social Services"
265,HHS,Health and Human Services,HHS 265,What improvements to HHS programs and policies can promote effective enterprise governance to ensure programmatic goals are met equitably and transparently across all management practices?,"Operationally-Focused, Equity"
266,HHS,Health and Human Services,HHS 266,"What improvements would most strengthen surveillance, epidemiology, and laboratory capacity to understand and equitably address diseases and conditions?","Mission-Focused, Operationally-Focused, Equity, Public Health"
267,HHS,Health and Human Services,HHS 267,"Where does HHS need to further invest in the scientific workforce to maintain leadership in the development of innovations that broaden our understanding of disease, healthcare, public health, and human services resulting in more effective interventions, treatments, and programs?","Operationally-Focused, PMA - Federal Workforce, Public Health"
268,HHS,Health and Human Services,HHS 268,"What improvements are needed to HHS programs and policies for data collection, use, and evaluation to increase evidence-based knowledge that leads to better health outcomes, reduced health disparities, and improved social well-being, equity, and economic resilience?","Operationally-Focused, Equity, Public Health, Data Related"
269,HHS,Health and Human Services,HHS 269,"How do HHS programs and policies expand equitable access to comprehensive, community-based, innovative, and culturally-competent healthcare services while addressing social determinants of health?","Mission-Focused, Equity, Public Health"
270,HHS,Health and Human Services,HHS 270,"How does HHS improve the design, delivery, and outcomes of HHS programs by prioritizing science, evidence, and inclusion?","Operationally-Focused, PMA - Customer Experience & Service Delivery, Equity"
271,HHS,Health and Human Services,HHS 271,To what extent do HHS programs and policies strengthen and expand access to mental health and substance use disorder treatment and recovery services for individuals and families?,"Mission-Focused, Public Health"
272,HHS,Health and Human Services,HHS 272,"How do HHS policies and programs enhance promotion of healthy lifestyle behaviors to reduce occurrence and disparities in preventable injury, illness, and death?","Mission-Focused, Equity, Public Health"
273,HHS,Health and Human Services,HHS 273,"How effective are HHS programs and policies at mitigating the impacts of environmental factors, including climate change, on health outcomes?","Mission-Focused, Climate Change, Public Health, Natural Resources & Environment"
274,HHS,Health and Human Services,HHS 274,"What effective strategies or combinations of strategies expand access to high-quality services for older adults and people with disabilities, and their caregivers, to support increased independence and quality of life?","Mission-Focused, Equity, Public Health, Social Services, Individuals with Disabilities"
275,HHS,Health and Human Services,HHS 275,"Which HHS investments in the research enterprise are most effective for maintaining leadership in the development of innovations that broaden our understanding of disease, healthcare, public health, and human services resulting in more effective interventions, treatments, and programs?","Operationally-Focused, Public Health"
276,HHS,Health and Human Services,HHS 276,"What improvements are needed to HHS capabilities to predict, prepare for, respond to, and recover from public health emergencies and threats in the nation and across the globe?","Operationally-Focused, Pandemic Response, Public Health"
277,HHS,Health and Human Services,HHS 277,"Which HHS efforts are most effective for sustaining strong financial stewardship of HHS resources to foster prudent use of resources, accountability, and public trust?","Operationally-Focused, PMA - Business of Government"
278,HHS,Health and Human Services,HHS 278,"Which HHS investments are optimal to uphold effective and innovative human capital resource management resulting in an engaged, diverse workforce with the skills and competencies to accomplish the HHS mission?","Operationally-Focused, PMA - Federal Workforce, DEIA"
279,HHS,Health and Human Services,HHS 279,"How do HHS policies and programs increase choice, affordability and enrollment in high-quality healthcare coverage?","Mission-Focused, Public Health"
280,HHS,Health and Human Services,HHS 280,"What strategies can HHS implement to ensure the security of HHS facilities, technology, data and information, while advancing environment-friendly practices?","Operationally-Focused, Natural Resources & Environment"
281,HHS,Health and Human Services,HHS 281,How and to what extent do HHS programs and policies ensure access to safe medical devices and drugs?,"Mission-Focused, Public Health"
282,HHS,Health and Human Services,HHS 282,How do HHS programs and policies bolster the primary and preventive healthcare workforce to ensure delivery of quality services and care?,"Mission-Focused, Equity, Public Health"
283,HHS,Health and Human Services,HHS 283,How effective are HHS programs and policies at integrating behavioral health services into the healthcare system?,"Mission-Focused, Public Health"
284,HHS,Health and Human Services,HHS 284,To what extent do HHS programs and policies reduce costs and improve quality of healthcare services?,"Mission-Focused, Public Health"
285,HUD,Department of Housing and Urban Development,HUD 285,"How can federal policy and funding best support disaster recovery, climate resilience, sustainability and strengthening environmental justice?","Mission-Focused, Climate Change, Environmental Justice, Disaster Response & Recovery"
286,HUD,Department of Housing and Urban Development,HUD 286,What HUD-assisted properties are repeatedly harmed by or at increasing risk of disasters and what is the cost to HUD? What are risks to HUD-assisted and other vulnerable populations?,"Mission-Focused, Equity, Climate Change, Housing, Disaster Response & Recovery"
287,HUD,Department of Housing and Urban Development,HUD 287,What enhancements to disaster-related data collection and data sharing between agencies are needed to improve coordination and accelerated recovery?,"Operationally-Focused, Disaster Response & Recovery, Data Related"
288,HUD,Department of Housing and Urban Development,HUD 288,Does HUD need to modify the Community Development Block Grant-Disaster Recovery allocation process to account for new needs related to climate change?,"Operationally-Focused, PMA - Business of Government, Climate Change, Grant Programs & Administration, Disaster Response & Recovery"
289,HUD,Department of Housing and Urban Development,HUD 289,"How do the impacts, costs, and resulting needs of slow-onset disasters compare with those of declared disasters, and what are implications for slow-onset disaster declarations, recovery aid programs, and HUD allocation formulas?","Mission-Focused, Operationally-Focused, Climate Change, Disaster Response & Recovery"
290,HUD,Department of Housing and Urban Development,HUD 290,Where do people go after a disaster?,"Mission-Focused, Disaster Response & Recovery"
291,HUD,Department of Housing and Urban Development,HUD 291,What is the optimal level of flood insurance coverage for the Federal Housing Administration (FHA) single-family mortgage portfolio and how can flood insurance policies maximize coverage?,"Mission-Focused, Environmental Justice, Housing, Disaster Response & Recovery"
292,HUD,Department of Housing and Urban Development,HUD 292,"How does the impact of Community Development Block Grant (CDBG)-Disaster Recovery funding vary across communities, and how do impacts vary with local capacity?","Mission-Focused, Operationally-Focused, Equity, Grant Programs & Administration, Disaster Response & Recovery"
293,HUD,Department of Housing and Urban Development,HUD 293,What are the outcomes of Community Development Block Grant (CDBG)-Disaster Recovery buyout programs and are these programs administered equitably?,"Mission-Focused, Equity, Housing, Grant Programs & Administration, Disaster Response & Recovery"
294,HUD,Department of Housing and Urban Development,HUD 294,"How much affordable housing is created within Opportunity Zones, and what is the broader change in housing affordability in those areas?","Mission-Focused, Equity, Housing"
295,HUD,Department of Housing and Urban Development,HUD 295,What has been the impact of the HOPE VI Urban Revitalization program over 20 years?,"Mission-Focused, Equity, Economic Development, Housing"
296,HUD,Department of Housing and Urban Development,HUD 296,"What are the personal reasons, outcomes, and destinations of households who leave gentrifying neighborhoods? What motivations and perceptions of neighborhood change influence the choices of leavers and stayers?","Mission-Focused, Equity, Economic Development, Housing"
